================================================================================
GENKI TEXTBOOK VOLUME 1 - KANJI & PHRASES DATABASE
LESSONS: 3 - 10 (Reading and Writing Section)
SOURCE: User Input (L6-9) + Standard Genki 3rd Edition Curriculum (L3-5, 10)
================================================================================

=== LESSON 3: Numbers and Time (まいにちのせいかつ) ===

Kanji | Phrases / Compounds | Readings | Meaning
一 | 一つ | ひとつ | one (thing)
一 | 一時 | いちじ | one o'clock
一 | 一年生 | いちねんせい | first-year student
二 | 二つ | ふたつ | two (things)
二 | 二時 | にじ | two o'clock
二 | 二年生 | にねんせい | second-year student
三 | 三つ | みっつ | three (things)
三 | 三時 | さんじ | three o'clock
三 | 三月 | さんがつ | March
四 | 四つ | よっつ | four (things)
四 | 四時 | よじ | four o'clock
四 | 四月 | しがつ | April
五 | 五つ | いつつ | five (things)
五 | 五時 | ごじ | five o'clock
五 | 五月 | ごがつ | May
六 | 六つ | むっつ | six (things)
六 | 六時 | ろくじ | six o'clock
六 | 六百 | ろっぴゃく | six hundred
七 | 七つ | ななつ | seven (things)
七 | 七時 | しちじ | seven o'clock
七 | 七月 | しちがつ | July
八 | 八つ | やっつ | eight (things)
八 | 八時 | はちじ | eight o'clock
八 | 八百 | はっぴゃく | eight hundred
九 | 九つ | ここのつ | nine (things)
九 | 九時 | くじ | nine o'clock
九 | 九月 | くがつ | September
十 | 十 | とお | ten (things)
十 | 十時 | じゅうじ | ten o'clock
十 | 十月 | じゅうがつ | October
百 | 百 | ひゃく | hundred
百 | 三百 | さんびゃく | three hundred
百 | 六百 | ろっぴゃく | six hundred
千 | 千 | せん | thousand
千 | 三千 | さんぜん | three thousand
千 | 八千 | はっせん | eight thousand
千 | 千円 | せんえん | one thousand yen
万 | 一万 | いちまん | ten thousand
万 | 十万 | じゅうまん | one hundred thousand
万 | 百万 | ひゃくまん | one million
円 | 百円 | ひゃくえん | 100 yen
時 | 一時 | いちじ | one o'clock
時 | 時々 | ときどき | sometimes
時 | 時計 | とけい | watch; clock

---

=== LESSON 4: Days and Positions (メアリーさんのしゅうまつ) ===

Kanji | Phrases / Compounds | Readings | Meaning
日 | 日本 | にほん | Japan
日 | 日曜日 | にちようび | Sunday
日 | 毎日 | まいにち | every day
日 | 母の日 | ははのひ | Mother's Day
本 | 本 | ほん | book
本 | 日本語 | にほんご | Japanese language
本 | 山本さん | やまもとさん | Mr./Ms. Yamamoto
人 | 人 | ひと | person
人 | 日本人 | にほんじん | Japanese people
人 | 一人で | ひとりで | alone
月 | 月曜日 | げつようび | Monday
月 | 一月 | いちがつ | January
月 | 月 | つき | moon
火 | 火曜日 | かようび | Tuesday
火 | 火 | ひ | fire
水 | 水曜日 | すいようび | Wednesday
水 | 水 | みず | water
木 | 木曜日 | もくようび | Thursday
木 | 木 | き | tree
金 | 金曜日 | きんようび | Friday
金 | お金 | おかね | money
土 | 土曜日 | どようび | Saturday
土 | 土 | つち | soil
曜 | 日曜日 | にちようび | Sunday
曜 | 曜日 | ようび | day of the week
上 | 上 | うえ | top; above
上 | 上がってください | あがってください | please come up
下 | 下 | した | under
下 | 下がってください | さがってください | please go down
下 | 地下鉄 | ちかてつ | subway
中 | 中 | なか | inside
中 | 中国 | ちゅうごく | China
中 | 一日中 | いちにちじゅう | all day long
半 | 三時半 | さんじはん | 3:30
半 | 半分 | はんぶん | half

---

=== LESSON 5: Adjectives and Verbs (りょこう) ===

Kanji | Phrases / Compounds | Readings | Meaning
山 | 山 | やま | mountain
山 | 富士山 | ふじさん | Mt. Fuji
山 | 山下先生 | やましたせんせい | Professor Yamashita
川 | 川 | かわ | river
川 | 山川さん | やまかわさん | Mr./Ms. Yamakawa
元 | 元気な | げんきな | healthy; fine
気 | 天気 | てんき | weather
気 | 電気 | でんき | electricity; light
気 | 気持ち | きもち | feeling
気 | 人気 | にんき | popularity
天 | 天気 | てんき | weather
天 | 天国 | てんごく | heaven
私 | 私 | わたし | I
私 | 私立大学 | しりつだいがく | private university
今 | 今 | いま | now
今 | 今日 | きょう | today
今 | 今晩 | こんばん | tonight
今 | 今月 | こんげつ | this month
田 | 田中さん | たなかさん | Mr./Ms. Tanaka
田 | 山田さん | やまださん | Mr./Ms. Yamada
田 | 田んぼ | たんぼ | rice field
女 | 女の人 | おんなのひと | woman
女 | 女性 | じょせい | woman (formal)
女 | 女の子 | おんなのこ | girl
男 | 男の人 | おとこのひと | man
男 | 男性 | だんせい | man (formal)
男 | 男の子 | おとこのこ | boy
見 | 見る | みる | to see
見 | 見物 | けんぶつ | sightseeing
見 | 意見 | いけん | opinion
行 | 行く | いく | to go
行 | 銀行 | ぎんこう | bank
行 | 旅行 | りょこう | travel
食 | 食べる | たべる | to eat
食 | 食べ物 | たべもの | food
食 | 食堂 | しょくどう | cafeteria
食 | 食事 | しょくじ | meal
飲 | 飲む | のむ | to drink
飲 | 飲み物 | のみもの | drink

---

=== LESSON 6: School and Directions (わたしのすきなレストラン) ===

Kanji | Phrases / Compounds | Readings | Meaning
東 | 東 | ひがし | east
東 | 東口 | ひがしぐち | east exit
東 | 東京 | とうきょう | Tokyo
西 | 西 | にし | west
西 | 西口 | にしぐち | west exit
南 | 南 | みなみ | south
南 | 南口 | みなみぐち | south exit
北 | 北 | きた | north
北 | 北口 | きたぐち | north exit
口 | 東口 | ひがしぐち | east exit
口 | 出口 | でぐち | exit
口 | 入口 | いりぐち | entrance
口 | 口 | くち | mouth
出 | 出る | でる | to exit
出 | 出口 | でぐち | exit
出 | 出かける | でかける | to go out
右 | 右 | みぎ | right
左 | 左 | ひだり | left
分 | 五分 | ごふん | 5 minutes
分 | 十分 | じゅっぷん | 10 minutes
分 | 分かる | わかる | to understand
先 | 先生 | せんせい | teacher
先 | 先週 | せんしゅう | last week
先 | 先に | さきに | ahead
生 | 学生 | がくせい | student
生 | 先生 | せんせい | teacher
生 | 生まれる | うまれる | to be born
大 | 大きい | おおきい | big
大 | 大学生 | だいがくせい | college student
大 | 大人 | おとな | adult
学 | 大学 | だいがく | university
学 | 学生 | がくせい | student
学 | 学校 | がっこう | school
外 | 外国 | がいこく | foreign country
外 | 外国人 | がいこくじん | foreigner
外 | 外 | そと | outside
国 | 国 | くに | country
国 | 外国 | がいこく | foreign country
国 | 中国 | ちゅうごく | China

---

=== LESSON 7: Family (メアリーさんのてがみ) ===

Kanji | Phrases / Compounds | Readings | Meaning
京 | 東京 | とうきょう | Tokyo
京 | 京子 | きょうこ | Kyoko
子 | 子ども | こども | child
子 | 電子メール | でんしメール | e-mail
小 | 小さい | ちいさい | small
小 | 小学校 | しょうがっこう | elementary school
会 | 会う | あう | to meet
会 | 会社 | かいしゃ | company
会 | 教会 | きょうかい | church
社 | 会社 | かいしゃ | company
社 | 社会 | しゃかい | sociology; society
社 | 神社 | じんじゃ | shrine
父 | 父 | ちち | (my) father
父 | お父さん | おとうさん | father
父 | 父母 | ふぼ | father and mother
母 | 母 | はは | (my) mother
母 | お母さん | おかあさん | mother
母 | 母国語 | ぼこくご | mother tongue
高 | 高い | たかい | expensive; high
高 | 高校 | こうこう | high school
高 | 高校生 | こうこうせい | high school student
校 | 学校 | がっこう | school
校 | 高校 | こうこう | high school
校 | 中学校 | ちゅうがっこう | junior high school
毎 | 毎日 | まいにち | every day
毎 | 毎週 | まいしゅう | every week
毎 | 毎晩 | まいばん | every night
毎 | 毎年 | まいとし | every year
語 | 日本語 | にほんご | Japanese language
語 | 英語 | えいご | English language
語 | 敬語 | けいご | honorifics
文 | 文学 | ぶんがく | literature
文 | 作文 | さくぶん | composition
文 | 文字 | もじ | letter; character
文 | 文化 | ぶんか | culture
帰 | 帰る | かえる | to return
帰 | 帰国 | きこく | going home (to one's country)
入 | 入る | はいる | to enter
入 | 入れる | いれる | to put something in
入 | 入口 | いりぐち | entrance
入 | 輸入 | ゆにゅう | import

---

=== LESSON 8: Work and Routine (にほんのかいしゃいん) ===

Kanji | Phrases / Compounds | Readings | Meaning
員 | 会社員 | かいしゃいん | office worker
員 | 店員 | てんいん | store clerk
員 | 会員 | かいいん | member
新 | 新しい | あたらしい | new
新 | 新聞 | しんぶん | newspaper
新 | 新幹線 | しんかんせん | Bullet Train
聞 | 新聞 | しんぶん | newspaper
聞 | 聞く | きく | to listen
聞 | 聞こえる | きこえる | can be heard
作 | 作る | つくる | to make
作 | 作文 | さくぶん | composition
作 | 作品 | さくひん | artistic piece
仕 | 仕事 | しごと | job; work
仕 | 仕方がない | しかたがない | it cannot be helped
事 | 仕事 | しごと | job; work
事 | 事 | こと | thing
事 | 食事 | しょくじ | meal
電 | 電車 | でんしゃ | train
電 | 電気 | でんき | electricity
電 | 電話 | でんわ | telephone
車 | 電車 | でんしゃ | train
車 | 車 | くるま | car
車 | 自転車 | じてんしゃ | bicycle
休 | 休む | やすむ | to be absent; to rest
休 | 休み | やすみ | holiday; absence
休 | 休日 | きゅうじつ | holiday
言 | 言う | いう | to say
